City,Reporting Year,Baseline year,Baseline emissions,Percentage reduction target,Target date
280.0,2016,2005,2913434.0,25.0,2020
281.0,2016,2009,268000.0,7.0,2020
168.0,2016,2009,3804493.0,35.0,2020
179.0,2016,2004,178832.0,40.0,2030
179.0,2016,2004,178832.0,80.0,2050
36.0,2016,1990,1700000.0,20.0,2020
12.0,2016,2008,2100000.0,100.0,2030
282.0,2016,2012,630000.0,20.0,2020
283.0,2016,2007,2141272.0,20.0,2020
79.0,2016,2009,800000.0,80.0,2020
87.0,2016,2008,347987.0,20.0,2020
18.0,2016,1990,6874000.0,60.0,2027
284.0,2016,1990,,40.0,2030
95.0,2016,2005,1075590.0,30.0,2020
19.0,2016,2005,2667000.0,26.0,2020
68.0,2016,1990,3615000.0,30.0,2020
68.0,2016,1990,3615000.0,39.0,2030
68.0,2016,1990,3615000.0,20.0,2020
130.0,2016,1990,747000.0,35.0,2020
180.0,2016,1990,2388300.0,50.0,2025
86.0,2016,2002,3887013.0,20.0,2020
96.0,2016,2004,1300000.0,45.0,2020
126.0,2016,2007,339990.0,35.0,2020
126.0,2016,2007,339990.0,73.0,2050
26.0,2016,2013,1107500.0,100.0,2040
285.0,2016,1990,6988259.0,21.0,2020
57.0,2016,2010,1237553.0,20.0,2020
73.0,2016,2005,2288510.0,21.0,2020
286.0,2016,2010,520715.0,23.0,2020
80.0,2016,2007,1582605.13,25.5,2020
88.0,2016,2005,2215759.0,23.0,2020
287.0,2016,2005,1892158.0,20.0,2020
265.0,2016,2000,,80.0,2050
107.0,2016,1990,263270.0,20.4,2020
92.0,2016,2007,1683317.65,23.9,2020
177.0,2016,2006,692479.0,20.0,2020
71.0,2016,2006,5054000.0,20.0,2020
93.0,2016,1990,20727000.0,80.0,2050
93.0,2016,1990,20727000.0,50.0,2030
108.0,2016,1990,3668000.0,100.0,2040
288.0,2016,2010,515593.0,20.0,2020
289.0,2016,2013,3551302.0,21.0,2020
183.0,2016,2007,499740.0,20.0,2020
290.0,2016,2006,39873000.0,30.0,2020
2.0,2016,1990,21200000.0,48.0,2020
58.0,2016,2012,310000.0,98.0,2050
291.0,2016,2010,182657.0,20.0,2020
72.0,2016,1990,3955000.0,95.0,2050
72.0,2016,2012,1406000.0,86.0,2050
109.0,2016,2008,15177.0,20.0,2020
292.0,2016,2007,180500.0,25.0,2015
292.0,2016,2007,361000.0,50.0,2020
292.0,2016,2007,722000.0,100.0,2029
265.0,2016,2000,,25.0,2025
77.0,2016,2005,,28.0,2020
77.0,2016,2005,,55.0,2035
77.0,2016,2005,,82.0,2050
61.0,2016,1991,1200000.0,95.0,2030
293.0,2016,2013,20232.0,8.46,2020
294.0,2016,2010,,24.0,2020
295.0,2016,1990,2499.0,30.0,2020
295.0,2016,1990,2499.0,100.0,2040
4.0,2016,2006,5700000.0,15.0,2015
165.0,2016,2009,268064.0,29.0,2020
181.0,2016,2014,467.45,4.0,2016
6.0,2016,2005,585531.0,20.0,2020
296.0,2016,1990,107940.0,30.0,2020
296.0,2016,1990,107940.0,22.0,2020
166.0,2016,2005,11527000.0,35.0,2020
166.0,2016,1990,12653000.0,20.0,2020
166.0,2016,2011,2367000.0,20.0,2020
24.0,2016,1990,1108030.0,20.0,2020
24.0,2016,2008,,100.0,2030
54.0,2016,1990,3417000.0,40.0,2025
54.0,2016,1990,3417000.0,75.0,2040
21.0,2016,2012,20550172.0,13.0,2020
103.0,2016,2005,2541000.0,20.0,2015
103.0,2016,2010,2240000.0,100.0,2025
143.0,2016,1990,36200000.0,45.0,2025
145.0,2016,2006,21413906.0,24.5,2020
83.0,2016,2007,27000000.0,40.0,2040
61.0,2016,1991,1200000.0,50.0,2020
138.0,2016,2004,25000000.0,25.0,2020
138.0,2016,2004,25000000.0,75.0,2050
138.0,2016,2004,6200000.0,40.0,2030
108.0,2016,1990,3668000.0,24.0,2020
4.0,2016,2006,5700000.0,30.0,2020
16.0,2016,2007,12952984.0,20.0,2020
124.0,2016,2005,7418.0,20.0,2020
62.0,2016,2005,512859.0,29.1,2020
62.0,2016,2005,524145.0,13.1,2020
62.0,2016,2005,381340.0,39.2,2020
62.0,2016,2005,1418344.0,22.9,2020
55.0,2016,1990,45000000.0,80.0,2050
104.0,2016,2003,4174937.0,23.0,2020
104.0,2016,2003,3593877.0,15.0,2020
123.0,2016,2005,7972916.0,80.0,2050
104.0,2016,2003,3230703.0,0.0,2020
59.0,2016,2009,903226.0,10.0,2030
59.0,2016,2009,276097.0,20.0,2030
59.0,2016,2009,13797.0,10.0,2030
117.0,2016,2007,2668991.0,76.0,2050
172.0,2016,2004,762829.0,30.0,2020
172.0,2016,2004,762829.0,80.0,2050
79.0,2016,2009,5356727.0,20.0,2020
79.0,2016,2009,2300000.0,20.0,2020
297.0,2016,2007,4641240.0,10.0,2025
40.0,2016,2010,7579144.0,15.0,2020
298.0,2016,2000,862545.1,7.0,2012
136.0,2016,2000,487035.0,10.0,2020
113.0,2016,2005,1943165.0,80.0,2050
121.0,2016,2006,23351712.0,20.0,2020
121.0,2016,2006,23351712.0,50.0,2030
82.0,2016,2007,401996.0,20.0,2020
112.0,2016,2005,15793731.0,20.0,2020
112.0,2016,1990,11871100.0,50.0,2036
112.0,2016,2005,15793731.0,80.0,2050
299.0,2016,2005,,100.0,2050
300.0,2016,2002,6775289.0,20.0,2020
110.0,2016,2010,12791996.0,16.0,2020
110.0,2016,2010,12791996.0,40.0,2030
110.0,2016,2010,12791996.0,80.0,2050
7.0,2016,2013,10695080.0,20.0,2020
101.0,2016,1990,11800000.0,1.0,2020
101.0,2016,2005,13500000.0,80.0,2050
173.0,2016,2006,7091648.0,30.0,2030
22.0,2016,2005,15862000.0,35.0,2035
119.0,2016,1990,911965.0,10.0,2020
119.0,2016,1990,911965.0,75.0,2050
119.0,2016,2010,1884651.0,50.0,2030
121.0,2016,2006,23351712.0,10.0,2012
156.0,2016,1990,924293.0,80.0,2050
121.0,2016,2006,23351712.0,80.0,2050
170.0,2016,2005,1130113.0,20.0,2020
38.0,2016,2005,4581171.0,20.0,2020
155.0,2016,2007,402364.0,20.0,2015
37.0,2016,2007,2646593.0,20.0,2025
37.0,2016,2007,2646593.0,50.0,2050
300.0,2016,2002,6775289.0,80.0,2050
5.0,2016,1990,3250000.0,15.0,2020
5.0,2016,1990,3250000.0,37.0,2030
5.0,2016,1990,3250000.0,80.0,2050
4.0,2016,2006,5700000.0,80.0,2050
301.0,2016,2000,,30.0,2020
41.0,2016,2005,1988265.0,36.0,2020
76.0,2016,1990,780119.0,20.0,2020
76.0,2016,1990,780119.0,80.0,2030
302.0,2016,2015,19590.0,100.0,2032
153.0,2016,2003,5987870.0,20.0,2025
