Country,Country Location
Canada,"(56.130366, -106.346771)"
United Kingdom,"(55.378051, -3.435973)"
USA,"(37.09024, -95.712891)"
Switzerland,"(46.818188, 8.227512)"
France,"(46.227638, 2.213749)"
South Korea,"(35.907757, 127.766922)"
Australia,"(-25.274398, 133.775136)"
Denmark,"(56.26392, 9.501785)"
Poland,"(51.919438, 19.145136)"
Brazil,"(-14.235004, -51.92528)"
South Africa,"(-30.559482, 22.937506)"
Indonesia,"(-0.789275, 113.921327)"
Finland,"(61.92411, 25.748151)"
Netherlands,"(52.132633, 5.291266)"
Taiwan,"(23.69781, 120.960515)"
Bolivia,"(-16.290154, -63.588653)"
Chile,"(-35.675147, -71.542969)"
Philippines,"(12.879721, 121.774017)"
Germany,"(51.165691, 10.451526)"
Lithuania,"(55.169438, 23.881275)"
Portugal,"(39.399872, -8.224454)"
Ecuador,"(-1.831239, -78.183406)"
Peru,"(-9.189967, -75.015152)"
Spain,"(40.463667, -3.74922)"
Norway,"(60.472024, 8.468946)"
Italy,"(41.87194, 12.56738)"
Mexico,"(23.634501, -102.552784)"
Ethiopia,"(9.145, 40.489673)"
Ireland,"(53.41291, -8.24389)"
Slovenia,"(46.151241, 14.995463)"
Argentina,"(-38.416097, -63.616672)"
Japan,"(36.204824, 138.252924)"
Colombia,"(4.570868, -74.297333)"
Sweden,"(60.128161, 18.643501)"
New Zealand,"(-40.900557, 174.885971)"
Iceland,"(64.963051, -19.020835)"
Hong Kong,"(22.396428, 114.109497)"
Venezuela,"(6.42375, -66.58973)"
Turkey,"(38.963745, 35.243322)"
Jordan,"(30.585164, 36.238414)"
Greece,"(39.074208, 21.824312)"
Nigeria,"(9.081999, 8.675277)"
Vietnam,"(14.058324, 108.277199)"
Malaysia,"(4.210484, 101.975766)"
Israel,"(31.046051, 34.851612)"
Russia,"(61.52401, 105.318756)"
State of Palestine,"(31.9522, 35.2332)"
Bulgaria,"(42.697708, 23.321868)"
Albania,"(41.153332, 20.168331)"
Singapore,"(1.352083, 103.819836)"
Comoros,"(-11.6455, 43.3333)"
Gibraltar,"(36.140751, -5.353585)"
Georgia,"(40.786168, -81.288192)"
Monaco,"(43.738418, 7.424616)"
Romania,"(45.943161, 24.96676)"
Thailand,"(15.870032, 100.992541)"
Montenegro,"(42.708678, 19.37439)"
Latvia,"(56.8796, 24.6032)"
