Account No,Country,City Name,C40,Reporting Year,Sector,Target boundary,Baseline year,Baseline emissions (metric tonnes CO2e),Percentage reduction target,Target date,Comment,City Location,Country Location
58796,Denmark,Odder Kommune,False,2016,Total,,2010,6136.0,2.0,,,"(55.975718, 10.149958)","(56.26392, 9.501785)"
36158,Italy,Napoli,False,2016,Total,,2005,2913434.0,25.0,2020.0,,"(40.8419943, 14.2513831)","(41.87194, 12.56738)"
62855,Denmark,Egedal Municipality,False,2016,Total,,2009,268000.0,7.0,2020.0,"The municipality are increasing in terms of citizens, business, buldings,highways etc.","(55.795045, 12.238733)","(56.26392, 9.501785)"
61753,Taiwan,Yilan ,False,2016,Total,,2009,3804493.0,35.0,2020.0,,"(24.702107, 121.73775)","(23.69781, 120.960515)"
61790,USA,"Emeryville, CA",False,2016,Total,Overall community emissions,2004,178832.0,40.0,2030.0,,"(37.831316, -122.285247)","(37.09024, -95.712891)"
61790,USA,"Emeryville, CA",False,2016,Total,Overall community emissions,2004,178832.0,80.0,2050.0,,"(37.831316, -122.285247)","(37.09024, -95.712891)"
62180,France,Communauté urbaine du Grand Nancy,False,2016,Total,,1990,1700000.0,20.0,2020.0,,"(48.692054, 6.184417)","(46.227638, 2.213749)"
54408,Denmark,Aarhus Kommune,False,2016,Total,community,2008,2100000.0,100.0,2030.0,,"(56.168393, 10.137373)","(56.26392, 9.501785)"
54425,France,Amiens Métropole,False,2016,,,2012,630000.0,20.0,2020.0,,"(49.894067, 2.295753)","(46.227638, 2.213749)"
54498,Spain,Murcia,False,2016,Total,,2007,2141272.0,20.0,2020.0,DATA IN CO2 (NOT CO2e),"(37.799013, -1.00495)","(40.463667, -3.74922)"
1093,USA,Atlanta,False,2016,Waste,city-wide control,2009,800000.0,80.0,2020.0,Reevaluation of recycling curbing and educational programs with public and private sector,"(33.7489954, -84.3879824)","(37.09024, -95.712891)"
50679,Portugal,Barreiro,False,2016,Other,Electricity and petroleum fuels,2008,347987.0,20.0,2020.0,There is a difference between the amount of CO2 emissions presented in SEAP and this table due to a change in the calculation methodology.,"(38.660815, -9.079072)","(39.399872, -8.224454)"
1850,United Kingdom,Birmingham,False,2016,Total,City authority,1990,6874000.0,60.0,2027.0,This is in line with national carbon budget periods,"(52.480174, -1.902907)","(55.378051, -3.435973)"
58609,Denmark,City of Ærøskøbing,False,2016,Total,,2015,,10.0,,,"(54.891456, 10.404684)","(56.26392, 9.501785)"
59151,Iceland,Akureyri,False,2016,Total,,1990,,40.0,2030.0,,"(65.688492, -18.126169)","(64.963051, -19.020835)"
54521,United Kingdom,Bournemouth,False,2016,Total,Entire Inventory,2005,1075590.0,30.0,2020.0,The 2005 baseline emissions are 5.7tCO2e per person.  The target for 2020 is 3.99 tonnes CO2e per person. The outturn figure for 2013 was 4.1 tonnes of CO2 per person.,"(50.719164, -1.880769)","(55.378051, -3.435973)"
