Account No,City,Country,Region,Access,C40,Reporting year,Type of target,Sector,Baseline year,Baseline emissions (metric tonnes CO2e),Percentage reduction target,Target date,Estimated business as usual absolute emissions in target year (metric tonnes CO2e),​Intensity unit (emissions per),Comment,Population,Population Year,City Location,Country Location
54408,Aarhus,Denmark,Europe,Public,False,2017,Absolute target,,2008,,100.0,2030,,,,336000.0,2017.0,"(56.168393, 10.137373)","(56.26392, 9.501785)"
63616,Abasan Al-Kabira,State of Palestine,South and West Asia,Public,False,2017,Absolute target,Buildings,2010,18320.0,19.0,2020,,,,30000.0,2015.0,"(31.323126, 34.344025)","(31.9522, 35.2332)"
63616,Abasan Al-Kabira,State of Palestine,South and West Asia,Public,False,2017,Absolute target,Transport,2010,6893.0,6.0,2020,,,,30000.0,2015.0,"(31.323126, 34.344025)","(31.9522, 35.2332)"
1499,Barcelona,Spain,Europe,Public,False,2017,Absolute target,Total,2008,4053.0,18.0,2020,,,,1608746.0,2016.0,"(41.382271, 2.177506)","(40.463667, -3.74922)"
1499,Barcelona,Spain,Europe,Public,False,2017,Absolute target,Buildings,2008,2164.0,1.0,2020,,,"Residential, Commercial and Industrial",1608746.0,2016.0,"(41.382271, 2.177506)","(40.463667, -3.74922)"
1499,Barcelona,Spain,Europe,Public,False,2017,Absolute target,Transport,2007,1540.0,27.0,2020,,,"On road transportation, port and airport",1608746.0,2016.0,"(41.382271, 2.177506)","(40.463667, -3.74922)"
1499,Barcelona,Spain,Europe,Public,False,2017,Absolute target,Waste,2008,327.0,74.0,2020,,,,1608746.0,2016.0,"(41.382271, 2.177506)","(40.463667, -3.74922)"
1499,Barcelona,Spain,Europe,Public,False,2017,Absolute target,,2008,,,,,,,1608746.0,2016.0,"(41.382271, 2.177506)","(40.463667, -3.74922)"
54637,Cuenca,Ecuador,Latin America,Public,False,2017,Absolute target,Transport,2017,11000.0,,,,,"Tranvía, ciclovías, sensibilización sobre el uso del transporte privado",505585.0,2010.0,"(-2.908411, -79.004837)","(-1.831239, -78.183406)"
54637,Cuenca,Ecuador,Latin America,Public,False,2017,Absolute target,Waste,2017,60000.0,,,,,Planta de biogas,505585.0,2010.0,"(-2.908411, -79.004837)","(-1.831239, -78.183406)"
60387,Sincelejo,Colombia,Latin America,Public,False,2017,Absolute target,,,,,,,,,275207.0,2015.0,"(9.304577, -75.390557)","(4.570868, -74.297333)"
43932,Auckland ,New Zealand,South Asia and Oceania,Public,False,2017,Absolute target,Total,1990,8892000.0,10.0,2020,,,10%-20% reduction by 2020,1614400.0,2016.0,"(-36.815328, 174.741788)","(-40.900557, 174.885971)"
43932,Auckland ,New Zealand,South Asia and Oceania,Public,False,2017,Absolute target,Total,1990,8892000.0,40.0,2040,,,,1614400.0,2016.0,"(-36.815328, 174.741788)","(-40.900557, 174.885971)"
43932,Auckland ,New Zealand,South Asia and Oceania,Public,False,2017,Absolute target,Total,1990,8892000.0,50.0,2050,,,,1614400.0,2016.0,"(-36.815328, 174.741788)","(-40.900557, 174.885971)"
31171,Madrid,Spain,Europe,Public,False,2017,Absolute target,Transport,2012,3162.0,50.0,2030,,,,3165883.0,2016.0,"(40.1076253, -3.3875673)","(40.463667, -3.74922)"
31171,Madrid,Spain,Europe,Public,False,2017,Absolute target,Total,1990,12953000.0,40.0,2030,,,,3165883.0,2016.0,"(40.1076253, -3.3875673)","(40.463667, -3.74922)"
54498,Murcia,Spain,Europe,Public,False,2017,Absolute target,Total,2007,2141277.0,20.0,2020,,,We already reach this target in 2015,439902.0,2015.0,"(37.799013, -1.00495)","(40.463667, -3.74922)"
58395,Bærum,Norway,Europe,Public,False,2017,Absolute target,Total,2009,227359.0,40.0,2030,,,"As reported in May 2017 we are in the process of developing a climate strategy where emission reduction targets will be set. The strategy is for political consideration until February 2018, and proposes a target of 40 % GHG reduction by 2030.",122660.0,2016.0,"(59.920545, 10.593765)","(60.472024, 8.468946)"
31150,Bangkok ,Thailand,South Asia and Oceania,Public,False,2017,Baseline scenario (business as usual) target,Transportation,2013,13760000.0,,2020,14910000.0,,,5696409.0,2015.0,"(13.787506, 100.710632)","(15.870032, 100.992541)"
31150,Bangkok ,Thailand,South Asia and Oceania,Public,False,2017,Baseline scenario (business as usual) target,Stationary energy (buildings),2013,25600000.0,,2020,26850000.0,,,5696409.0,2015.0,"(13.787506, 100.710632)","(15.870032, 100.992541)"
31150,Bangkok ,Thailand,South Asia and Oceania,Public,False,2017,Baseline scenario (business as usual) target,Waste,2013,4550000.0,,2020,4730000.0,,,5696409.0,2015.0,"(13.787506, 100.710632)","(15.870032, 100.992541)"
50679,Barreiro,Portugal,Europe,Public,False,2017,Absolute target,Total,2008,347987.0,20.0,2020,,,There is a difference between the amount of CO2 emissions presented in SEAP and this table due to a change in the calculation methodology.,78764.0,2011.0,"(38.660815, -9.079072)","(39.399872, -8.224454)"
31151,Basel-Stadt,Switzerland,Europe,Public,False,2017,Absolute target,Total,1990,1108030.0,20.0,2020,,,Swiss federal law CO2,198206.0,2016.0,"(47.5619, 7.5928)","(46.818188, 8.227512)"
31151,Basel-Stadt,Switzerland,Europe,Public,False,2017,Base year intensity target,,2001,,,,,,,198206.0,2016.0,"(47.5619, 7.5928)","(46.818188, 8.227512)"
59996,Batangas,Philippines,South Asia and Oceania,Public,False,2017,Absolute target,Total,2015,657636.0,25.0,2030,,,,354170.0,2016.0,"(13.7565, 121.0583)","(12.879721, 121.774017)"
59996,Batangas,Philippines,South Asia and Oceania,Public,False,2017,Baseline scenario (business as usual) target,,,,,,,,,354170.0,2016.0,"(13.7565, 121.0583)","(12.879721, 121.774017)"
54329,Bogor ,Indonesia,South Asia and Oceania,Public,False,2017,Absolute target,Total,2014,2193642.0,33.0,2030,,,WEM (With Existing Measure) Scenario,1047922.0,2015.0,"(-6.5971, 106.806)","(-6.121435, 106.774124)"
