City,Reporting Year,Baseline year,Baseline emissions,Percentage reduction target,Target date
280,2016,2005,2913434.0,25.0,2020
281,2016,2009,268000.0,7.0,2020
168,2016,2009,3804493.0,35.0,2020
179,2016,2004,178832.0,40.0,2030
179,2016,2004,178832.0,80.0,2050
36,2016,1990,1700000.0,20.0,2020
12,2016,2008,2100000.0,100.0,2030
282,2016,2012,630000.0,20.0,2020
283,2016,2007,2141272.0,20.0,2020
79,2016,2009,800000.0,80.0,2020
87,2016,2008,347987.0,20.0,2020
18,2016,1990,6874000.0,60.0,2027
284,2016,1990,,40.0,2030
95,2016,2005,1075590.0,30.0,2020
19,2016,2005,2667000.0,26.0,2020
68,2016,1990,3615000.0,30.0,2020
68,2016,1990,3615000.0,39.0,2030
68,2016,1990,3615000.0,20.0,2020
130,2016,1990,747000.0,35.0,2020
180,2016,1990,2388300.0,50.0,2025
86,2016,2002,3887013.0,20.0,2020
96,2016,2004,1300000.0,45.0,2020
126,2016,2007,339990.0,35.0,2020
126,2016,2007,339990.0,73.0,2050
26,2016,2013,1107500.0,100.0,2040
285,2016,1990,6988259.0,21.0,2020
57,2016,2010,1237553.0,20.0,2020
73,2016,2005,2288510.0,21.0,2020
286,2016,2010,520715.0,23.0,2020
80,2016,2007,1582605.13,25.5,2020
88,2016,2005,2215759.0,23.0,2020
287,2016,2005,1892158.0,20.0,2020
265,2016,2000,,80.0,2050
107,2016,1990,263270.0,20.4,2020
92,2016,2007,1683317.65,23.9,2020
177,2016,2006,692479.0,20.0,2020
71,2016,2006,5054000.0,20.0,2020
93,2016,1990,20727000.0,80.0,2050
93,2016,1990,20727000.0,50.0,2030
108,2016,1990,3668000.0,100.0,2040
288,2016,2010,515593.0,20.0,2020
289,2016,2013,3551302.0,21.0,2020
183,2016,2007,499740.0,20.0,2020
290,2016,2006,39873000.0,30.0,2020
2,2016,1990,21200000.0,48.0,2020
58,2016,2012,310000.0,98.0,2050
291,2016,2010,182657.0,20.0,2020
72,2016,1990,3955000.0,95.0,2050
72,2016,2012,1406000.0,86.0,2050
109,2016,2008,15177.0,20.0,2020
292,2016,2007,180500.0,25.0,2015
292,2016,2007,361000.0,50.0,2020
292,2016,2007,722000.0,100.0,2029
265,2016,2000,,25.0,2025
77,2016,2005,,28.0,2020
77,2016,2005,,55.0,2035
77,2016,2005,,82.0,2050
61,2016,1991,1200000.0,95.0,2030
293,2016,2013,20232.0,8.46,2020
294,2016,2010,,24.0,2020
295,2016,1990,2499.0,30.0,2020
295,2016,1990,2499.0,100.0,2040
4,2016,2006,5700000.0,15.0,2015
165,2016,2009,268064.0,29.0,2020
181,2016,2014,467.45,4.0,2016
6,2016,2005,585531.0,20.0,2020
296,2016,1990,107940.0,30.0,2020
296,2016,1990,107940.0,22.0,2020
166,2016,2005,11527000.0,35.0,2020
166,2016,1990,12653000.0,20.0,2020
166,2016,2011,2367000.0,20.0,2020
24,2016,1990,1108030.0,20.0,2020
24,2016,2008,,100.0,2030
54,2016,1990,3417000.0,40.0,2025
54,2016,1990,3417000.0,75.0,2040
21,2016,2012,20550172.0,13.0,2020
103,2016,2005,2541000.0,20.0,2015
103,2016,2010,2240000.0,100.0,2025
143,2016,1990,36200000.0,45.0,2025
145,2016,2006,21413906.0,24.5,2020
83,2016,2007,27000000.0,40.0,2040
61,2016,1991,1200000.0,50.0,2020
138,2016,2004,25000000.0,25.0,2020
138,2016,2004,25000000.0,75.0,2050
138,2016,2004,6200000.0,40.0,2030
108,2016,1990,3668000.0,24.0,2020
4,2016,2006,5700000.0,30.0,2020
16,2016,2007,12952984.0,20.0,2020
124,2016,2005,7418.0,20.0,2020
62,2016,2005,512859.0,29.1,2020
62,2016,2005,524145.0,13.1,2020
62,2016,2005,381340.0,39.2,2020
62,2016,2005,1418344.0,22.9,2020
55,2016,1990,45000000.0,80.0,2050
104,2016,2003,4174937.0,23.0,2020
104,2016,2003,3593877.0,15.0,2020
123,2016,2005,7972916.0,80.0,2050
104,2016,2003,3230703.0,0.0,2020
59,2016,2009,903226.0,10.0,2030
59,2016,2009,276097.0,20.0,2030
59,2016,2009,13797.0,10.0,2030
117,2016,2007,2668991.0,76.0,2050
172,2016,2004,762829.0,30.0,2020
172,2016,2004,762829.0,80.0,2050
79,2016,2009,5356727.0,20.0,2020
79,2016,2009,2300000.0,20.0,2020
297,2016,2007,4641240.0,10.0,2025
40,2016,2010,7579144.0,15.0,2020
298,2016,2000,862545.1,7.0,2012
136,2016,2000,487035.0,10.0,2020
113,2016,2005,1943165.0,80.0,2050
121,2016,2006,23351712.0,20.0,2020
121,2016,2006,23351712.0,50.0,2030
82,2016,2007,401996.0,20.0,2020
112,2016,2005,15793731.0,20.0,2020
112,2016,1990,11871100.0,50.0,2036
112,2016,2005,15793731.0,80.0,2050
299,2016,2005,,100.0,2050
300,2016,2002,6775289.0,20.0,2020
110,2016,2010,12791996.0,16.0,2020
110,2016,2010,12791996.0,40.0,2030
110,2016,2010,12791996.0,80.0,2050
7,2016,2013,10695080.0,20.0,2020
101,2016,1990,11800000.0,1.0,2020
101,2016,2005,13500000.0,80.0,2050
173,2016,2006,7091648.0,30.0,2030
22,2016,2005,15862000.0,35.0,2035
119,2016,1990,911965.0,10.0,2020
119,2016,1990,911965.0,75.0,2050
119,2016,2010,1884651.0,50.0,2030
121,2016,2006,23351712.0,10.0,2012
156,2016,1990,924293.0,80.0,2050
121,2016,2006,23351712.0,80.0,2050
170,2016,2005,1130113.0,20.0,2020
38,2016,2005,4581171.0,20.0,2020
155,2016,2007,402364.0,20.0,2015
37,2016,2007,2646593.0,20.0,2025
37,2016,2007,2646593.0,50.0,2050
300,2016,2002,6775289.0,80.0,2050
5,2016,1990,3250000.0,15.0,2020
5,2016,1990,3250000.0,37.0,2030
5,2016,1990,3250000.0,80.0,2050
4,2016,2006,5700000.0,80.0,2050
301,2016,2000,,30.0,2020
41,2016,2005,1988265.0,36.0,2020
76,2016,1990,780119.0,20.0,2020
76,2016,1990,780119.0,80.0,2030
302,2016,2015,19590.0,100.0,2032
153,2016,2003,5987870.0,20.0,2025
153,2016,2013,833781.0,50.0,2030
13,2016,2008,3377616.0,80.0,2050
303,2016,2005,4161823.0,15.0,2020
303,2016,2005,4161823.0,49.0,2035
303,2016,2005,4161823.0,83.0,2050
149,2016,2013,16089575.0,50.0,2050
156,2016,1990,924293.0,15.0,2015
158,2016,2014,609565.0,100.0,2050
123,2016,2005,7972916.0,25.0,2020
152,2016,2008,583213.0,25.0,2035
125,2016,2010,844276.0,20.0,2020
122,2016,2005,89913.0,30.0,2025
129,2016,1990,422626.0,80.0,2050
1,2016,1990,14969534.0,30.0,2020
157,2016,2010,14500000.0,90.0,2050
27,2016,2005,7440000.0,25.0,2020
10,2016,1990,32300000.0,80.0,2050
10,2016,1990,32300000.0,25.0,2020
143,2016,1990,36200000.0,60.0,2035
44,2016,2006,22837228.0,80.0,2050
144,2016,1990,8989460.0,40.0,2030
144,2016,1990,8989460.0,80.0,2050
144,2016,1990,8989869.0,80.0,2020
118,2016,1990,6201949.0,20.0,2012
118,2016,1990,6201949.0,25.0,2017
118,2016,1990,6201949.0,40.0,2025
118,2016,1990,6201949.0,80.0,2050
65,2016,2008,3647000.0,100.0,2050
17,2016,1990,27051617.0,80.0,2050
81,2016,2007,2805000.0,33.0,2020
81,2016,2007,1145000.0,20.0,2020
23,2016,2006,10101895.0,15.0,2015
23,2016,2006,10101895.0,20.0,2020
23,2016,2006,10101895.0,50.0,2032
23,2016,2006,10101895.0,80.0,2050
131,2016,2005,4390000.0,21.0,2020
15,2016,2005,55616668.0,30.0,2030
15,2016,2005,55616668.0,35.0,2025
15,2016,2005,55616668.0,80.0,2050
163,2016,2005,160944.0,15.0,2020
176,2016,2005,137160.0,100.0,2040
63,2016,2007,224212.0,15.0,2020
63,2016,2007,224212.0,50.0,2050
304,2016,2009,406000.0,20.0,2020
35,2016,2011,60000.0,52.0,2020
305,2016,2005,7501126.0,30.0,2020
11,2016,2008,4934000.0,100.0,2020
116,2016,2006,4536712.0,70.0,2030
131,2016,2005,3350000.0,7.0,2020
131,2016,2005,2950000.0,8.0,2020
131,2016,2005,3680000.0,4.0,2020
131,2016,2005,4340000.0,50.0,2020
131,2016,2005,430000.0,2.0,2020
131,2016,2005,410000.0,22.0,2020
131,2016,2005,19540000.0,16.0,2020
66,2016,2005,49467000.0,25.0,2020
252,2016,2020,77.2,11.0,2020
97,2016,2000,62100000.0,30.0,2030
97,2016,2000,25700000.0,20.0,2030
97,2016,2000,14300000.0,20.0,2030
97,2016,2000,17600000.0,60.0,2030
306,2016,2010,,20.0,2015
120,2016,1990,8760000.0,10.0,2020
120,2016,1990,8760000.0,40.0,2040
120,2016,1990,8760000.0,50.0,2050
78,2016,1990,3185500.0,40.0,2020
78,2016,1990,3185500.0,100.0,2050
